ds_path,seed,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,random_state,Fraud_True_Sum,Truth_False_Sum,Fraud_False_Sum,F1_W,AUC_ROC_W
/work/data/creditcard_trans_float.csv,13,True,auto,1,2,200,42,0.6779999999999999,0.20614999999999997,2.75e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,auto,1,2,400,42,0.6790625,0.20643749999999994,2.6875e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,auto,1,2,800,42,0.6800562500000001,0.20636250000000003,2.63125e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,auto,1,8,200,42,0.666825630515318,0.2093401302312883,2.8302570346320344e-05,0.9974141937650657,0.879975
/work/data/creditcard_trans_float.csv,13,True,auto,1,8,400,42,0.6701633089571785,0.2074585916167166,2.8663640526140526e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,auto,1,8,800,42,0.6706106813988708,0.20680440518427648,2.713510632545558e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,auto,4,2,200,42,0.6527097513862771,0.21083952671103406,0.0,0.9974631702083511,0.88
/work/data/creditcard_trans_float.csv,13,True,auto,4,2,400,42,0.6506341833391283,0.2134106757825508,2.6696718457196388e-05,0.9973574689670325,0.8774749999999999
/work/data/creditcard_trans_float.csv,13,True,auto,4,2,800,42,0.6560706160853036,0.20781379869211677,2.596885990847389e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,auto,4,8,200,42,0.6527097513862771,0.21083952671103406,0.0,0.9974631702083511,0.88
/work/data/creditcard_trans_float.csv,13,True,auto,4,8,400,42,0.6506341833391283,0.2134106757825508,2.6696718457196388e-05,0.9973574689670325,0.8774749999999999
/work/data/creditcard_trans_float.csv,13,True,auto,4,8,800,42,0.6560706160853036,0.20781379869211677,2.596885990847389e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,sqrt,1,2,200,42,0.6779999999999999,0.20614999999999997,2.75e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,sqrt,1,2,400,42,0.6790625,0.20643749999999994,2.6875e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,sqrt,1,2,800,42,0.6800562500000001,0.20636250000000003,2.63125e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,sqrt,1,8,200,42,0.666825630515318,0.2093401302312883,2.8302570346320344e-05,0.9974141937650657,0.879975
/work/data/creditcard_trans_float.csv,13,True,sqrt,1,8,400,42,0.6701633089571785,0.2074585916167166,2.8663640526140526e-05,0.9974707388232013,0.8824750000000001
/work/data/creditcard_trans_float.csv,13,True,sqrt,1,8,800,42,0.6706106813988708,0.2068044051842765,2.713510632545558e-05,0.9974707388232013,0.8824750000000001
