seed,Fraud_True_Sum,Truth_False_Sum,Fraud_False_Sum,F1_M,AUC_ROC_M,TP_0,TP_1
13,0.9359999999999999,0.0,0.0032909999999999997,0.8923471325334309,0.9973000000000001,0.9946,1.0
17,0.943,0.0,0.0029139999999999995,0.9036805318409193,0.9976499999999999,0.9953,1.0
19,0.92675,0.00505,0.0033504999999999997,0.8907131219451059,0.992325,0.99465,0.99
41,0.9319000000000002,0.0026,0.0034144999999999996,0.8903535609136795,0.9947750000000001,0.99455,0.995
