seed,MODEL,F1_M,AUC_ROC_M,RECALL,TP_1,TP_0
43,RFMC,0.7322142602636685,0.7492138364779876,0.8333333333333334,0.8333333333333334,0.6650943396226415
43,RF,0.749517825953794,0.7471829140461216,0.6736111111111112,0.6736111111111112,0.8207547169811321
43,MLPC,0.736118012169394,0.7374868972746331,0.7013888888888888,0.7013888888888888,0.7735849056603774
47,RFMC,0.7313861506632591,0.7338836477987422,0.7083333333333334,0.7083333333333334,0.7594339622641509
47,RF,0.7285415906905812,0.7262185534591196,0.6458333333333334,0.6458333333333334,0.8066037735849056
47,MLPC,0.7481568607396422,0.7418763102725368,0.6111111111111112,0.6111111111111112,0.8726415094339622
53,RFMC,0.7806086699590562,0.7743710691823898,0.6666666666666666,0.6666666666666666,0.8820754716981132
53,RF,0.7019225297727918,0.7036163522012578,0.6666666666666666,0.6666666666666666,0.7405660377358491
53,MLPC,0.6339992775570313,0.6379716981132075,0.375,0.375,0.9009433962264151
59,RFMC,0.7959472672713173,0.789504716981132,0.6875,0.6875,0.8915094339622641
59,RF,0.7482005408778865,0.7449554507337527,0.6597222222222222,0.6597222222222222,0.8301886792452831
59,MLPC,0.7401279199110122,0.732835429769392,0.5694444444444444,0.5694444444444444,0.8962264150943396
